name,type,path
HTM::JobAdapter,Module,HTM/JobAdapter.md
HTM::JobAdapter.enqueue,Method,HTM/JobAdapter.md#method-c-enqueue
HTM::Observability,Module,HTM/Observability.md
HTM::Observability.cache_stats,Method,HTM/Observability.md#method-c-cache_stats
HTM::Observability.circuit_breaker_stats,Method,HTM/Observability.md#method-c-circuit_breaker_stats
HTM::Observability.collect_all,Method,HTM/Observability.md#method-c-collect_all
HTM::Observability.connection_pool_stats,Method,HTM/Observability.md#method-c-connection_pool_stats
HTM::Observability.health_check,Method,HTM/Observability.md#method-c-health_check
HTM::Observability.healthy?,Method,HTM/Observability.md#method-c-healthy?
HTM::Observability.memory_stats,Method,HTM/Observability.md#method-c-memory_stats
HTM::Observability.query_timing_stats,Method,HTM/Observability.md#method-c-query_timing_stats
HTM::Observability.record_embedding_timing,Method,HTM/Observability.md#method-c-record_embedding_timing
HTM::Observability.record_query_timing,Method,HTM/Observability.md#method-c-record_query_timing
HTM::Observability.record_tag_timing,Method,HTM/Observability.md#method-c-record_tag_timing
HTM::Observability.reset_metrics!,Method,HTM/Observability.md#method-c-reset_metrics!
HTM::Observability.service_timing_stats,Method,HTM/Observability.md#method-c-service_timing_stats
HTM::Telemetry,Module,HTM/Telemetry.md
HTM::Telemetry.cache_operations,Method,HTM/Telemetry.md#method-c-cache_operations
HTM::Telemetry.embedding_latency,Method,HTM/Telemetry.md#method-c-embedding_latency
HTM::Telemetry.enabled?,Method,HTM/Telemetry.md#method-c-enabled?
HTM::Telemetry.job_counter,Method,HTM/Telemetry.md#method-c-job_counter
HTM::Telemetry.measure,Method,HTM/Telemetry.md#method-c-measure
HTM::Telemetry.meter,Method,HTM/Telemetry.md#method-c-meter
HTM::Telemetry.reset!,Method,HTM/Telemetry.md#method-c-reset!
HTM::Telemetry.sdk_available?,Method,HTM/Telemetry.md#method-c-sdk_available?
HTM::Telemetry.search_latency,Method,HTM/Telemetry.md#method-c-search_latency
HTM::Telemetry.setup,Method,HTM/Telemetry.md#method-c-setup
HTM::Telemetry.tag_latency,Method,HTM/Telemetry.md#method-c-tag_latency
HTM,Class,HTM.md
HTM.configure,Method,HTM.md#method-c-configure
HTM.count_tokens,Method,HTM.md#method-c-count_tokens
HTM.embed,Method,HTM.md#method-c-embed
HTM.extract_propositions,Method,HTM.md#method-c-extract_propositions
HTM.extract_tags,Method,HTM.md#method-c-extract_tags
HTM.logger,Method,HTM.md#method-c-logger
HTM.reset_configuration!,Method,HTM.md#method-c-reset_configuration!
configuration,Attribute,HTM.md#attribute-c-configuration
HTM::ActiveRecordConfig,Class,HTM/ActiveRecordConfig.md
HTM::ActiveRecordConfig.connected?,Method,HTM/ActiveRecordConfig.md#method-c-connected?
HTM::ActiveRecordConfig.connection_stats,Method,HTM/ActiveRecordConfig.md#method-c-connection_stats
